subscription_id,type,Recency,last_access_date,lst_date,subscription_date,freq,qt_page_view,qt_page_view_week,qt_page_view_weekend,qt_page_view_mornig,qt_page_view_afternoon,qt_page_view_nigth,qt_art_read,qt_source_sm_cpc_facebook,qt_source_sm_cpc_others,qt_source_sm_facebook,qt_source_sm_other,qt_source_nedeal,qt_source_email,qt_source_others,qt_gazeta_capa,qt_gazeta_esportes,qt_gazeta_politica,qt_gazeta_economia,Vol_agro,Vol_haus,Vol_bgourmet,Vol_viverbem,Vol_guia,qt_gazeta_curitiba,qt_access_others,qt_comments,qt_explicar,qt_alegre,qt_provocar,qt_triste,qt_inspirar,qt_moderno,qt_facilitar,qt_surpreendente,qt_informar,qt_hardnews,qt_softnews,qt_appGazeta,qt_appGuia,qt_mobile,qt_other_devices,qt_login,browser,has_club,has_print
1000465,T,27.0,2018-05-30,"2018-05-03,2018-05-04,2018-05-05,2018-05-06,2018-05-07,2018-05-08,2018-05-09,2018-05-10,2018-05-11,2018-05-13,2018-05-14,2018-05-15,2018-05-16,2018-05-17,2018-05-18,2018-05-19,2018-05-20,2018-05-21,2018-05-22,2018-05-23,2018-05-24,2018-05-25,2018-05-26,2018-05-27,2018-05-28,2018-05-29,2018-05-30,2018-06-02",1994-11-26,26,225,169,56,138,40,47,86,0,0,1,0,0,0,224,95,6,11,7,2,5,6,4,2,4,83,0,4,16,2,2,6,1,2,3,33,23,3,0,0,123,102,2,Chrome 66.0.3359.181,1,1
1000988,T,,,,1994-09-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1
1001140,T,30.0,2018-06-06,"2018-05-07,2018-05-07,2018-05-08,2018-05-12,2018-05-14,2018-05-16,2018-05-19,2018-05-20,2018-05-21,2018-05-22,2018-05-23,2018-05-26,2018-05-27,2018-05-28,2018-05-29,2018-05-30,2018-05-31,2018-06-01,2018-06-02,2018-06-03,2018-06-04,2018-06-06,2018-06-06",1994-12-25,21,109,51,58,53,32,24,28,0,0,0,0,0,0,109,70,0,2,3,0,1,0,1,14,2,16,0,0,0,0,0,0,0,0,0,1,1,0,91,0,0,18,8,App,1,1
1001267,T,26.0,2018-06-16,"2018-05-21,2018-06-16,2018-06-20",1995-05-15,1,8,0,8,0,0,8,3,0,0,0,0,0,0,8,4,0,0,0,0,0,0,1,1,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,8,2,Chrome 67.0.3396.87,1,1
1002983,T,,,,1994-11-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1
1003004,T,,,,1994-10-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1
1004645,T,,,,1995-04-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1
1004829,T,,,,1994-10-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1
1005388,T,26.0,2018-06-12,"2018-05-17,2018-06-12,2018-06-16",1995-01-25,1,2,2,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,Chrome 67.0.3396.79,1,1
1005513,T,10.0,2018-06-04,"2018-05-25,2018-06-04,2018-06-24",1995-04-25,1,14,14,0,14,0,0,4,0,0,0,0,0,0,14,4,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,Chrome 66.0.3359.181,1,1
1005567,T,,,,1995-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1
1005740,T,1.0,2018-05-18,"2018-05-17,2018-05-17,2018-05-18,2018-06-16",1995-03-10,2,3,3,0,1,2,0,1,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,Chrome 66.0.3359.181,1,1
